questionName,modelName,optionType,options,index,text,createdAt,updatedAt,optionIndex
AI Term,gpt4mini,Bullet Points,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",0,Artificial Intelligence,2024-11-23 06:56:01.049,2024-11-23 06:56:01.049,1
AI Term,gpt4mini,Bullet Points,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",1,Artificial Intelligence,2024-11-23 06:56:01.057,2024-11-23 06:56:01.057,1
AI Term,gpt4mini,Bullet Points,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",2,Artificial Intelligence,2024-11-23 06:56:01.058,2024-11-23 06:56:01.058,1
AI Term,gpt4mini,Bullet Points,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",0,Artificial Intelligence,2024-11-23 06:56:01.991,2024-11-23 06:56:01.991,3
AI Term,gpt4mini,Bullet Points,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",1,Artificial Intelligence,2024-11-23 06:56:01.993,2024-11-23 06:56:01.993,3
AI Term,gpt4mini,Bullet Points,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",2,Artificial Intelligence,2024-11-23 06:56:01.993,2024-11-23 06:56:01.993,3
AI Term,gpt4mini,Bullet Points,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",0,Artificial Intelligence,2024-11-23 06:56:01.484,2024-11-23 06:56:01.484,2
AI Term,gpt4mini,Bullet Points,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",1,Artificial Intelligence,2024-11-23 06:56:01.485,2024-11-23 06:56:01.485,2
AI Term,gpt4mini,Bullet Points,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",2,Artificial Intelligence,2024-11-23 06:56:01.485,2024-11-23 06:56:01.485,2
AI Term,gpt4mini,Bullet Points,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",0,Artificial Intelligence,2024-11-23 06:56:00.471,2024-11-23 06:56:00.471,0
AI Term,gpt4mini,Bullet Points,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",1,Artificial Intelligence,2024-11-23 06:56:00.471,2024-11-23 06:56:00.471,0
AI Term,gpt4mini,Bullet Points,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",2,Artificial Intelligence,2024-11-23 06:56:00.472,2024-11-23 06:56:00.472,0
AI Term,gpt4mini,Lettered Options,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",0,Artificial Intelligence,2024-11-23 06:55:57.646,2024-11-23 06:55:57.646,1
AI Term,gpt4mini,Lettered Options,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",1,Artificial Intelligence,2024-11-23 06:55:57.647,2024-11-23 06:55:57.647,1
AI Term,gpt4mini,Lettered Options,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",2,Artificial Intelligence,2024-11-23 06:55:57.647,2024-11-23 06:55:57.647,1
AI Term,gpt4mini,Lettered Options,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",0,Artificial Intelligence,2024-11-23 06:55:58.471,2024-11-23 06:55:58.471,3
AI Term,gpt4mini,Lettered Options,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",1,Artificial Intelligence,2024-11-23 06:55:58.471,2024-11-23 06:55:58.471,3
AI Term,gpt4mini,Lettered Options,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",2,Artificial Intelligence,2024-11-23 06:55:58.471,2024-11-23 06:55:58.471,3
AI Term,gpt4mini,Lettered Options,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",0,Artificial Intelligence,2024-11-23 06:55:57.951,2024-11-23 06:55:57.951,2
AI Term,gpt4mini,Lettered Options,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",1,Artificial Intelligence,2024-11-23 06:55:57.951,2024-11-23 06:55:57.951,2
AI Term,gpt4mini,Lettered Options,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",2,Artificial Intelligence,2024-11-23 06:55:57.952,2024-11-23 06:55:57.952,2
AI Term,gpt4mini,Lettered Options,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",0,Artificial Intelligence,2024-11-23 06:55:57.015,2024-11-23 06:55:57.015,0
AI Term,gpt4mini,Lettered Options,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",1,Artificial Intelligence,2024-11-23 06:55:57.015,2024-11-23 06:55:57.015,0
AI Term,gpt4mini,Lettered Options,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",2,Artificial Intelligence,2024-11-23 06:55:57.016,2024-11-23 06:55:57.016,0
AI Term,gpt4mini,Numbered Options,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",0,Artificial Intelligence,2024-11-23 06:55:59.483,2024-11-23 06:55:59.483,1
AI Term,gpt4mini,Numbered Options,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",1,Artificial Intelligence,2024-11-23 06:55:59.484,2024-11-23 06:55:59.484,1
AI Term,gpt4mini,Numbered Options,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",2,Artificial Intelligence,2024-11-23 06:55:59.484,2024-11-23 06:55:59.484,1
AI Term,gpt4mini,Numbered Options,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",0,Artificial Intelligence,2024-11-23 06:56:00.119,2024-11-23 06:56:00.119,3
AI Term,gpt4mini,Numbered Options,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",1,Artificial Intelligence,2024-11-23 06:56:00.119,2024-11-23 06:56:00.119,3
AI Term,gpt4mini,Numbered Options,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",2,Artificial Intelligence,2024-11-23 06:56:00.121,2024-11-23 06:56:00.121,3
AI Term,gpt4mini,Numbered Options,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",0,Artificial Intelligence,2024-11-23 06:55:59.798,2024-11-23 06:55:59.798,2
AI Term,gpt4mini,Numbered Options,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",1,Artificial Intelligence,2024-11-23 06:55:59.799,2024-11-23 06:55:59.799,2
AI Term,gpt4mini,Numbered Options,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",2,Artificial Intelligence,2024-11-23 06:55:59.799,2024-11-23 06:55:59.799,2
AI Term,gpt4mini,Numbered Options,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",0,Artificial Intelligence,2024-11-23 06:55:58.794,2024-11-23 06:55:58.794,0
AI Term,gpt4mini,Numbered Options,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",1,Artificial Intelligence,2024-11-23 06:55:58.794,2024-11-23 06:55:58.794,0
AI Term,gpt4mini,Numbered Options,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",2,Artificial Intelligence,2024-11-23 06:55:58.795,2024-11-23 06:55:58.795,0
AI Term,gpt4o,Bullet Points,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",0,Artificial Intelligence,2024-11-23 06:56:19.619,2024-11-23 06:56:19.619,1
AI Term,gpt4o,Bullet Points,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",1,Artificial Intelligence,2024-11-23 06:56:19.62,2024-11-23 06:56:19.62,1
AI Term,gpt4o,Bullet Points,"[""Adobe Illustrator"", ""Allen Iverson"", ""Air India"", ""Artificial Intelligence""]",2,Artificial Intelligence,2024-11-23 06:56:19.62,2024-11-23 06:56:19.62,1
AI Term,gpt4o,Bullet Points,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",0,Artificial Intelligence,2024-11-23 06:56:20.527,2024-11-23 06:56:20.527,3
AI Term,gpt4o,Bullet Points,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",1,Artificial Intelligence,2024-11-23 06:56:20.528,2024-11-23 06:56:20.528,3
AI Term,gpt4o,Bullet Points,"[""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson""]",2,Artificial Intelligence,2024-11-23 06:56:20.528,2024-11-23 06:56:20.528,3
AI Term,gpt4o,Bullet Points,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",0,Artificial Intelligence,2024-11-23 06:56:20.046,2024-11-23 06:56:20.046,2
AI Term,gpt4o,Bullet Points,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",1,Artificial Intelligence,2024-11-23 06:56:20.047,2024-11-23 06:56:20.047,2
AI Term,gpt4o,Bullet Points,"[""Allen Iverson"", ""Air India"", ""Artificial Intelligence"", ""Adobe Illustrator""]",2,Artificial Intelligence,2024-11-23 06:56:20.047,2024-11-23 06:56:20.047,2
AI Term,gpt4o,Bullet Points,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",0,Artificial Intelligence,2024-11-23 06:56:18.957,2024-11-23 06:56:18.957,0
AI Term,gpt4o,Bullet Points,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",1,Artificial Intelligence,2024-11-23 06:56:18.958,2024-11-23 06:56:18.958,0
AI Term,gpt4o,Bullet Points,"[""Artificial Intelligence"", ""Adobe Illustrator"", ""Allen Iverson"", ""Air India""]",2,Artificial Intelligence,2024-11-23 06:56:18.958,2024-11-23 06:56:18.958,0
